y,x
20.12,2.58
20.14,2.59
20.18,2.60
20.13,2.61
20.14,2.62
20.17,2.63
20.13,2.64
20.11,2.65
20.18,2.66
20.17,2.67
20.12,2.68
20.15,2.69
20.20,2.70
20.13,2.71
20.12,2.72
20.13,2.73
20.12,2.74
20.09,2.75
20.14,2.76
20.12,2.77
20.11,2.78
20.14,2.79
20.09,2.80
20.10,2.81
20.07,2.82
20.09,2.83
20.09,2.84
20.14,2.85
20.16,2.86
20.12,2.87
20.15,2.88
20.15,2.89
20.10,2.90
20.13,2.91
20.14,2.92
20.04,2.93
20.16,2.94
20.13,2.95
20.13,2.96
20.12,2.97
20.15,2.98
20.12,3.00
20.15,3.01
20.14,3.02
20.11,3.03
20.12,3.04
20.13,3.05
20.09,3.06
20.11,3.07
20.13,3.08
20.08,3.09
20.10,3.10
20.14,3.11
20.09,3.12
20.04,3.13
20.13,3.14
20.08,3.15
20.09,3.16
20.14,3.17
20.12,3.18
20.08,3.19
20.10,3.20
20.09,3.21
20.10,3.22
20.07,3.23
20.15,3.24
20.11,3.25
20.09,3.26
20.04,3.27
20.12,3.28
20.08,3.29
20.15,3.30
20.07,3.31
20.10,3.32
20.14,3.33
20.13,3.34
20.04,3.35
20.11,3.36
20.07,3.37
20.06,3.38
20.13,3.39
20.12,3.40
20.05,3.41
20.11,3.42
20.12,3.43
20.07,3.44
20.08,3.45
20.06,3.46
20.08,3.47
20.10,3.48
20.06,3.49
20.10,3.50
20.10,3.51
20.05,3.52
20.12,3.53
20.07,3.54
20.10,3.55
20.10,3.56
20.07,3.57
20.09,3.58
20.12,3.59
20.10,3.60
20.04,3.61
20.08,3.62
20.09,3.63
20.09,3.64
20.06,3.65
20.12,3.66
20.09,3.67
20.05,3.68
20.11,3.69
20.11,3.70
20.06,3.71
20.12,3.72
20.10,3.73
20.07,3.74
20.02,3.75
20.11,3.76
20.07,3.77
20.04,3.78
20.10,3.79
20.11,3.80
20.04,3.81
20.10,3.82
20.08,3.83
20.09,3.84
20.04,3.85
20.11,3.86
20.07,3.87
20.03,3.88
20.04,3.89
20.05,3.90
20.04,3.91
20.08,3.92
20.07,3.93
20.02,3.94
20.08,3.95
20.09,3.96
20.05,3.97
20.06,3.98
20.05,3.99
20.05,4.00
20.06,4.01
20.06,4.02
20.09,4.03
20.02,4.04
20.07,4.05
20.08,4.06
19.97,4.07
20.07,4.08
20.06,4.09
19.99,4.10
20.06,4.11
20.06,4.12
20.03,4.13
20.06,4.14
20.10,4.15
20.02,4.16
19.99,4.18
20.06,4.19
20.06,4.20
20.06,4.21
20.04,4.22
20.03,4.23
20.00,4.24
20.07,4.25
20.05,4.26
20.04,4.27
20.01,4.28
20.06,4.29
20.02,4.30
20.06,4.31
20.04,4.32
20.04,4.33
20.04,4.34
20.07,4.35
20.02,4.36
20.02,4.37
20.09,4.38
20.03,4.39
19.99,4.40
20.06,4.41
20.03,4.42
20.00,4.43
20.04,4.44
20.06,4.45
20.02,4.46
20.03,4.47
20.05,4.48
19.99,4.49
20.04,4.50
20.04,4.51
20.05,4.52
20.01,4.53
20.07,4.54
19.99,4.55
20.00,4.56
20.01,4.57
20.00,4.58
19.98,4.59
20.07,4.60
20.03,4.61
20.01,4.62
20.04,4.63
20.06,4.64
20.04,4.65
20.02,4.66
20.06,4.67
20.03,4.68
20.03,4.69
20.05,4.70
20.05,4.71
20.01,4.72
19.93,4.73
19.98,4.74
19.93,4.75
20.02,4.76
20.03,4.77
20.00,4.78
20.00,4.79
20.04,4.80
19.99,4.81
20.01,4.82
20.04,4.83
20.01,4.84
20.00,4.85
19.98,4.86
20.00,4.87
20.02,4.88
19.94,4.89
20.00,4.90
20.01,4.91
20.00,4.92
20.00,4.93
20.01,4.94
20.00,4.95
20.02,4.96
20.00,4.97
19.97,4.98
19.97,4.99
20.03,5.00
20.00,5.01
20.03,5.02
19.99,5.03
20.00,5.04
20.05,5.05
20.03,5.06
19.99,5.07
19.98,5.08
19.95,5.09
19.98,5.10
19.99,5.11
20.02,5.12
20.02,5.13
20.01,5.14
19.99,5.15
20.01,5.16
20.01,5.17
20.00,5.18
20.03,5.19
19.96,5.20
20.01,5.21
19.99,5.22
20.01,5.23
19.93,5.24
20.00,5.25
20.01,5.26
19.97,5.27
19.96,5.28
19.94,5.29
19.95,5.30
19.94,5.31
20.01,5.32
20.00,5.33
19.96,5.34
20.03,5.35
20.01,5.37
19.96,5.38
19.97,5.39
20.02,5.40
20.01,5.41
19.96,5.42
20.02,5.43
20.00,5.44
19.90,5.45
20.02,5.46
19.98,5.47
20.01,5.48
20.00,5.49
20.01,5.50
19.98,5.51
19.97,5.52
19.99,5.53
19.98,5.54
19.96,5.55
20.01,5.56
20.03,5.57
19.95,5.58
19.95,5.59
20.00,5.60
19.97,5.61
19.92,5.62
20.00,5.63
19.98,5.64
19.97,5.65
19.99,5.66
20.01,5.67
19.94,5.68
19.99,5.69
19.97,5.70
19.94,5.71
19.96,5.72
19.99,5.73
19.97,5.74
19.95,5.75
19.95,5.76
20.00,5.77
19.96,5.78
20.01,5.79
19.94,5.80
19.95,5.81
19.99,5.82
20.00,5.83
19.93,5.84
20.00,5.85
19.94,5.86
19.94,5.87
19.92,5.88
19.99,5.89
19.96,5.90
19.96,5.91
19.94,5.92
19.96,5.93
19.94,5.94
19.97,5.95
19.97,5.96
19.94,5.97
19.98,5.98
19.95,5.99
19.95,6.00
19.98,6.01
20.00,6.02
19.94,6.03
19.98,6.04
19.96,6.05
19.94,6.06
19.92,6.07
19.97,6.08
19.91,6.09
19.87,6.10
19.95,6.11
19.95,6.12
19.91,6.13
19.92,6.14
19.93,6.15
19.93,6.16
19.93,6.17
19.95,6.18
19.93,6.19
19.96,6.20
19.96,6.21
19.93,6.22
19.92,6.23
19.93,6.24
19.95,6.25
19.95,6.26
19.85,6.27
19.93,6.28
19.95,6.29
19.91,6.30
19.95,6.31
19.89,6.32
19.95,6.33
19.92,6.34
19.91,6.35
19.94,6.36
19.93,6.37
19.90,6.38
19.90,6.39
19.92,6.40
19.89,6.41
19.92,6.42
19.95,6.43
19.86,6.44
19.97,6.45
19.94,6.46
19.88,6.47
19.85,6.48
19.90,6.49
19.90,6.50
19.92,6.51
19.90,6.52
19.85,6.53
19.93,6.54
19.96,6.56
19.91,6.57
19.88,6.58
19.94,6.59
19.91,6.60
19.92,6.61
19.93,6.62
19.96,6.63
19.91,6.64
19.93,6.65
19.87,6.66
19.88,6.67
19.91,6.68
19.91,6.69
19.93,6.70
19.94,6.71
19.93,6.72
19.93,6.73
19.91,6.74
19.96,6.75
19.94,6.76
19.90,6.77
19.91,6.78
19.94,6.79
19.90,6.80
19.93,6.81
19.91,6.82
19.85,6.83
19.84,6.84
19.85,6.85
19.88,6.86
19.93,6.87
19.93,6.88
19.91,6.89
19.91,6.90
19.94,6.91
19.92,6.92
19.91,6.93
19.89,6.94
19.93,6.95
19.91,6.96
19.90,6.97
19.92,6.98
19.87,6.99
19.91,7.00
19.92,7.01
19.90,7.02
19.88,7.03
19.91,7.04
19.83,7.05
19.91,7.06
19.93,7.07
19.92,7.08
19.88,7.09
19.93,7.10
19.87,7.11
19.89,7.12
19.94,7.13
19.93,7.14
19.91,7.15
19.89,7.16
19.89,7.17
19.90,7.18
19.88,7.19
19.89,7.20
19.82,7.21
19.92,7.22
19.86,7.23
19.90,7.24
19.90,7.25
19.91,7.26
19.87,7.27
19.87,7.28
19.93,7.29
19.89,7.30
19.87,7.31
19.89,7.32
19.86,7.33
19.84,7.34
19.88,7.35
19.93,7.36
19.86,7.37
19.88,7.38
19.90,7.39
19.87,7.40
19.87,7.41
19.88,7.42
19.91,7.43
19.85,7.44
19.88,7.45
19.85,7.46
19.84,7.47
19.88,7.48
19.91,7.49
19.88,7.50
19.87,7.51
19.86,7.52
19.84,7.53
19.85,7.54
19.93,7.55
19.88,7.56
19.86,7.57
19.90,7.58
19.88,7.59
19.89,7.60
19.88,7.61
19.88,7.62
19.85,7.63
19.89,7.64
19.89,7.65
19.88,7.66
19.83,7.67
19.89,7.68
19.83,7.69
19.84,7.70
19.89,7.71
19.87,7.72
19.83,7.73
19.91,7.75
19.77,7.76
19.81,7.77
19.81,7.78
19.88,7.79
19.84,7.80
19.84,7.81
19.88,7.82
19.87,7.83
19.86,7.84
19.89,7.85
19.87,7.86
19.84,7.87
19.87,7.88
19.88,7.89
19.85,7.90
19.89,7.91
19.83,7.92
19.84,7.93
19.83,7.94
19.86,7.95
19.79,7.96
19.85,7.97
19.82,7.98
19.85,7.99
19.85,8.00
19.84,8.01
19.79,8.02
19.87,8.03
19.88,8.04
19.85,8.05
19.82,8.06
19.85,8.07
19.84,8.08
19.84,8.09
19.84,8.10
19.89,8.11
19.78,8.12
19.82,8.13
19.85,8.14
19.86,8.15
19.82,8.16
19.86,8.17
19.83,8.18
19.77,8.19
19.89,8.20
19.83,8.21
19.82,8.22
19.86,8.23
19.87,8.24
19.84,8.25
19.86,8.26
19.83,8.27
19.83,8.28
19.81,8.29
19.87,8.30
19.83,8.31
19.80,8.32
19.84,8.33
19.83,8.34
19.86,8.35
19.86,8.36
19.80,8.37
19.84,8.38
19.86,8.39
19.84,8.40
19.80,8.41
19.87,8.42
19.86,8.43
19.83,8.44
19.85,8.45
19.86,8.46
19.73,8.47
19.84,8.48
19.87,8.49
19.83,8.50
19.77,8.51
19.83,8.52
19.83,8.53
19.79,8.54
19.82,8.55
19.78,8.56
19.83,8.57
19.83,8.58
19.78,8.59
19.80,8.60
19.83,8.61
19.82,8.62
19.75,8.63
19.82,8.64
19.84,8.65
19.81,8.66
19.80,8.67
19.82,8.68
19.79,8.69
19.79,8.70
19.82,8.71
19.79,8.72
19.81,8.73
19.79,8.74
19.80,8.75
19.73,8.76
19.81,8.77
19.82,8.78
19.81,8.79
19.79,8.80
19.84,8.81
19.82,8.82
19.76,8.83
19.76,8.84
19.84,8.85
19.77,8.86
19.80,8.87
19.83,8.88
19.77,8.89
19.80,8.90
19.84,8.91
19.80,8.92
19.71,8.94
19.83,8.95
19.80,8.96
19.78,8.97
19.79,8.98
19.80,8.99
19.77,9.00
19.83,9.01
19.82,9.02
19.78,9.03
19.79,9.04
19.83,9.05
19.78,9.06
19.81,9.07
19.81,9.08
19.73,9.09
19.80,9.10
19.81,9.11
19.79,9.12
19.75,9.13
19.82,9.14
19.79,9.15
19.81,9.16
19.80,9.17
19.78,9.18
19.78,9.19
19.82,9.20
19.84,9.21
19.76,9.22
19.80,9.23
19.82,9.24
19.75,9.25
19.78,9.26
19.79,9.27
19.79,9.28
19.79,9.29
19.81,9.30
19.77,9.31
19.79,9.32
19.82,9.33
19.77,9.34
19.78,9.35
19.80,9.36
19.77,9.37
19.78,9.38
19.80,9.39
19.79,9.40
19.74,9.41
19.79,9.42
19.76,9.43
19.79,9.44
19.72,9.45
19.81,9.46
19.77,9.47
19.77,9.48
19.79,9.49
19.77,9.50
19.69,9.51
19.76,9.52
19.73,9.53
19.71,9.54
19.78,9.55
19.75,9.56
19.74,9.57
19.75,9.58
19.76,9.59
19.71,9.60
19.76,9.61
19.80,9.62
19.76,9.63
19.76,9.64
19.76,9.65
19.79,9.66
19.73,9.67
19.81,9.68
19.76,9.69
19.70,9.70
19.77,9.71
19.79,9.72
19.78,9.73
19.75,9.74
19.77,9.75
19.72,9.76
19.76,9.77
19.76,9.78
19.75,9.79
19.75,9.80
19.75,9.81
19.78,9.82
19.70,9.83
19.77,9.84
19.76,9.85
19.75,9.86
19.79,9.87
19.72,9.88
19.72,9.89
19.79,9.90
19.74,9.91
19.76,9.92
19.75,9.93
19.78,9.94
19.73,9.95
19.77,9.96
19.78,9.97
19.72,9.98
19.76,9.99
19.77,10.00
19.70,10.01
19.76,10.02
19.70,10.03
19.73,10.04
19.73,10.05
19.70,10.06
19.74,10.07
19.74,10.08
19.74,10.09
19.76,10.10
19.70,10.11
19.78,10.13
19.73,10.14
19.72,10.15
19.75,10.16
19.78,10.17
19.74,10.18
19.70,10.19
19.75,10.20
19.66,10.21
19.69,10.22
19.76,10.23
19.76,10.24
19.73,10.25
19.78,10.26
19.66,10.27
19.73,10.28
19.72,10.29
19.66,10.30
19.71,10.31
19.73,10.32
19.75,10.33
19.73,10.34
19.76,10.35
19.75,10.36
19.73,10.37
19.73,10.38
19.73,10.39
19.73,10.40
19.66,10.41
19.76,10.42
19.73,10.43
19.69,10.44
19.72,10.45
19.73,10.46
19.72,10.47
19.71,10.48
19.77,10.49
19.69,10.50
19.70,10.51
19.69,10.52
19.67,10.53
19.74,10.54
19.75,10.55
19.73,10.56
19.74,10.57
19.73,10.58
19.74,10.59
19.72,10.60
19.73,10.61
19.72,10.62
19.71,10.63
19.71,10.64
19.75,10.65
19.62,10.66
19.71,10.67
19.73,10.68
19.69,10.69
19.71,10.70
19.73,10.71
19.72,10.72
19.67,10.73
19.73,10.74
19.73,10.75
19.68,10.76
19.69,10.77
19.76,10.78
19.67,10.79
19.68,10.80
19.71,10.81
19.71,10.82
19.67,10.83
19.68,10.84
19.73,10.85
19.63,10.86
19.72,10.87
19.67,10.88
19.67,10.89
19.70,10.90
19.70,10.91
19.71,10.92
19.68,10.93
19.71,10.94
19.70,10.95
19.67,10.96
19.72,10.97
19.71,10.98
19.67,10.99
19.72,11.00
19.70,11.01
19.69,11.02
19.74,11.03
19.71,11.04
19.62,11.05
19.71,11.06
19.70,11.07
19.68,11.08
19.66,11.09
19.69,11.10
19.66,11.11
19.64,11.12
19.71,11.13
19.68,11.14
19.65,11.15
19.67,11.16
19.70,11.17
19.66,11.18
19.70,11.19
19.70,11.20
19.67,11.21
19.68,11.22
19.68,11.23
19.67,11.24
19.69,11.25
19.67,11.26
19.69,11.27
19.69,11.28
19.69,11.29
19.70,11.31
19.66,11.32
19.68,11.33
19.68,11.34
19.67,11.35
19.69,11.36
19.69,11.37
19.66,11.38
19.68,11.39
19.71,11.40
19.68,11.41
19.60,11.42
19.64,11.43
19.68,11.44
19.64,11.45
19.65,11.46
19.70,11.47
19.60,11.48
19.67,11.49
19.68,11.50
19.66,11.51
19.68,11.52
19.66,11.53
19.67,11.54
19.63,11.55
19.69,11.56
19.64,11.57
19.60,11.58
19.70,11.59
19.66,11.60
19.68,11.61
19.66,11.62
19.71,11.63
19.66,11.64
19.66,11.65
19.68,11.66
19.66,11.67
19.61,11.68
19.68,11.69
19.70,11.70
19.63,11.71
19.66,11.72
19.69,11.73
19.63,11.74
19.68,11.75
19.68,11.76
19.60,11.77
19.65,11.78
19.69,11.79
19.66,11.80
19.60,11.81
19.67,11.82
19.63,11.83
19.67,11.84
19.67,11.85
19.68,11.86
19.65,11.87
19.63,11.88
19.64,11.89
19.63,11.90
19.68,11.91
19.67,11.92
19.61,11.93
19.62,11.94
19.70,11.95
19.67,11.96
19.62,11.97
19.70,11.98
19.65,11.99
19.62,12.00
19.66,12.01
19.66,12.02
19.62,12.03
19.67,12.04
19.67,12.05
19.60,12.06
19.61,12.07
19.64,12.08
19.67,12.09
19.63,12.10
19.69,12.11
19.65,12.12
19.62,12.13
19.65,12.14
19.63,12.15
19.64,12.16
19.65,12.17
19.63,12.18
19.57,12.19
19.66,12.20
19.67,12.21
19.60,12.22
19.64,12.23
19.67,12.24
19.62,12.25
19.61,12.26
19.62,12.27
19.65,12.28
19.60,12.29
19.61,12.30
19.64,12.31
19.65,12.32
19.59,12.33
19.59,12.34
19.66,12.35
19.61,12.36
19.67,12.37
19.69,12.38
19.63,12.39
19.65,12.40
19.60,12.41
19.62,12.42
19.62,12.43
19.64,12.44
19.65,12.45
19.59,12.46
19.63,12.47
19.64,12.48
19.62,12.50
19.63,12.51
19.64,12.52
19.66,12.53
19.63,12.54
19.60,12.55
19.61,12.56
19.64,12.57
19.62,12.58
19.62,12.59
19.62,12.60
19.60,12.61
19.63,12.62
19.63,12.63
19.62,12.64
19.64,12.65
19.63,12.66
19.57,12.67
19.59,12.68
19.59,12.69
19.57,12.70
19.63,12.71
19.65,12.72
19.66,12.73
19.62,12.74
19.64,12.75
19.64,12.76
19.61,12.77
19.63,12.78
19.67,12.79
19.60,12.80
19.62,12.81
19.63,12.82
19.59,12.83
19.59,12.84
19.63,12.85
19.62,12.86
19.59,12.87
19.59,12.88
19.61,12.89
19.61,12.90
19.61,12.91
19.64,12.92
19.61,12.93
19.57,12.94
19.56,12.95
19.63,12.96
19.61,12.97
19.62,12.98
19.63,12.99
19.59,13.00
19.61,13.01
19.62,13.02
19.59,13.03
19.61,13.04
19.59,13.05
19.62,13.06
19.58,13.07
19.58,13.08
19.62,13.09
19.62,13.10
19.59,13.11
19.64,13.12
19.56,13.13
19.59,13.14
19.62,13.15
19.61,13.16
19.59,13.17
19.59,13.18
19.64,13.19
19.59,13.20
19.48,13.21
19.60,13.22
19.57,13.23
19.55,13.24
19.56,13.25
19.59,13.26
19.56,13.27
19.57,13.28
19.62,13.29
19.60,13.30
19.58,13.31
19.55,13.32
19.63,13.33
19.59,13.34
19.55,13.35
19.62,13.36
19.60,13.37
19.58,13.38
19.57,13.39
19.58,13.40
19.59,13.41
19.59,13.42
19.57,13.43
19.55,13.44
19.56,13.45
19.60,13.46
19.54,13.47
19.59,13.48
19.58,13.49
19.59,13.50
19.56,13.51
19.58,13.52
19.62,13.53
19.57,13.54
19.54,13.55
19.61,13.56
19.60,13.57
19.52,13.58
19.60,13.59
19.59,13.60
19.58,13.61
19.53,13.62
19.61,13.63
19.60,13.64
19.58,13.65
19.58,13.66
19.58,13.67
19.58,13.69
19.52,13.70
19.60,13.71
19.59,13.72
19.55,13.73
19.55,13.74
19.61,13.75
19.56,13.76
19.56,13.77
19.60,13.78
19.56,13.79
19.54,13.80
19.59,13.81
19.57,13.82
19.55,13.83
19.54,13.84
19.62,13.85
19.53,13.86
19.57,13.87
19.58,13.88
19.60,13.89
19.56,13.90
19.57,13.91
19.57,13.92
19.54,13.93
19.53,13.94
19.58,13.95
19.56,13.96
19.55,13.97
19.59,13.98
19.60,13.99
19.57,14.00
19.56,14.01
19.57,14.02
19.56,14.03
19.56,14.04
19.59,14.05
19.59,14.06
19.55,14.07
19.56,14.08
19.54,14.09
19.57,14.10
19.56,14.11
19.58,14.12
19.56,14.13
19.49,14.14
19.54,14.15
19.54,14.16
19.53,14.17
19.57,14.18
19.58,14.19
19.55,14.20
19.53,14.21
19.58,14.22
19.54,14.23
19.56,14.24
19.56,14.25
19.55,14.26
19.54,14.27
19.55,14.28
19.51,14.29
19.54,14.30
19.53,14.31
19.55,14.32
19.56,14.33
19.54,14.34
19.55,14.35
19.55,14.36
19.49,14.37
19.54,14.38
19.55,14.39
19.55,14.40
19.54,14.41
19.56,14.42
19.52,14.43
19.51,14.44
19.51,14.45
19.52,14.46
19.54,14.47
19.52,14.48
19.54,14.49
19.53,14.50
19.52,14.51
19.52,14.52
19.57,14.53
19.48,14.54
19.53,14.55
19.54,14.56
19.51,14.57
19.52,14.58
19.55,14.59
19.52,14.60
19.44,14.61
19.51,14.62
19.51,14.63
19.50,14.64
19.53,14.65
19.56,14.66
19.52,14.67
19.51,14.68
19.56,14.69
19.54,14.70
19.51,14.71
19.53,14.72
19.54,14.73
19.53,14.74
19.51,14.75
19.54,14.76
19.49,14.77
19.46,14.78
19.49,14.79
19.56,14.80
19.53,14.81
19.48,14.82
19.55,14.83
19.51,14.84
19.51,14.85
19.52,14.86
19.53,14.88
19.47,14.89
19.54,14.90
19.54,14.91
19.47,14.92
19.43,14.93
19.49,14.94
19.51,14.95
19.49,14.96
19.52,14.97
19.52,14.98
19.48,14.99
19.49,15.00
19.55,15.01
19.51,15.02
19.50,15.03
19.50,15.04
19.52,15.05
19.46,15.06
19.51,15.07
19.49,15.08
19.50,15.09
19.49,15.10
19.54,15.11
19.54,15.12
19.47,15.13
19.53,15.14
19.54,15.15
19.45,15.16
19.47,15.17
19.47,15.18
19.52,15.19
19.49,15.20
19.48,15.21
19.52,15.22
19.49,15.23
19.54,15.24
19.53,15.25
19.50,15.26
19.50,15.27
19.48,15.28
19.48,15.29
19.48,15.30
19.47,15.31
19.53,15.32
19.48,15.33
19.49,15.34
19.53,15.35
19.47,15.36
19.46,15.37
19.50,15.38
19.52,15.39
19.41,15.40
19.50,15.41
19.49,15.42
19.49,15.43
19.48,15.44
19.52,15.45
19.47,15.46
19.45,15.47
19.45,15.48
19.52,15.49
19.48,15.50
19.45,15.51
19.46,15.52
19.47,15.53
19.47,15.54
19.48,15.55
19.50,15.56
19.50,15.57
19.49,15.58
19.50,15.59
19.50,15.60
19.45,15.61
19.50,15.62
19.49,15.63
19.48,15.64
19.45,15.65
19.51,15.66
19.47,15.67
19.45,15.68
19.50,15.69
19.48,15.70
19.46,15.71
19.50,15.72
19.48,15.73
19.45,15.74
19.47,15.75
19.49,15.76
19.47,15.77
19.47,15.78
19.49,15.79
19.48,15.80
19.44,15.81
19.48,15.82
19.49,15.83
19.43,15.84
19.46,15.85
19.43,15.86
19.46,15.87
19.46,15.88
19.46,15.89
19.42,15.90
19.46,15.91
19.47,15.92
19.51,15.93
19.43,15.94
19.47,15.95
19.52,15.96
19.46,15.97
19.44,15.98
19.51,15.99
19.44,16.00
19.47,16.01
19.43,16.02
19.44,16.03
19.43,16.04
19.46,16.05
19.49,16.07
19.41,16.08
19.48,16.09
19.49,16.10
19.43,16.11
19.43,16.12
19.50,16.13
19.44,16.14
19.44,16.15
19.44,16.16
19.48,16.17
19.41,16.18
19.47,16.19
19.48,16.20
19.45,16.21
19.38,16.22
19.49,16.23
19.41,16.24
19.42,16.25
19.45,16.26
19.48,16.27
19.42,16.28
19.47,16.29
19.48,16.30
19.43,16.31
19.42,16.32
19.50,16.33
19.43,16.34
19.39,16.35
19.43,16.36
19.45,16.37
19.42,16.38
19.43,16.39
19.42,16.40
19.41,16.41
19.45,16.42
19.44,16.43
19.46,16.44
19.41,16.45
19.45,16.46
19.44,16.47
19.38,16.48
19.44,16.49
19.48,16.50
19.44,16.51
19.39,16.52
19.47,16.53
19.46,16.54
19.44,16.55
19.41,16.56
19.46,16.57
19.46,16.58
19.43,16.59
19.45,16.60
19.43,16.61
19.44,16.62
19.45,16.63
19.46,16.64
19.43,16.65
19.41,16.66
19.44,16.67
19.42,16.68
19.40,16.69
19.42,16.70
19.45,16.71
19.42,16.72
19.39,16.73
19.41,16.74
19.44,16.75
19.42,16.76
19.41,16.77
19.42,16.78
19.42,16.79
19.38,16.80
19.40,16.81
19.45,16.82
19.41,16.83
19.40,16.84
19.44,16.85
19.40,16.86
19.35,16.87
19.46,16.88
19.41,16.89
19.37,16.90
19.43,16.91
19.42,16.92
19.41,16.93
19.40,16.94
19.46,16.95
19.45,16.96
19.43,16.97
19.38,16.98
19.43,16.99
19.41,17.00
19.41,17.01
19.47,17.02
19.42,17.03
19.39,17.04
19.45,17.05
19.43,17.06
19.42,17.07
19.40,17.08
19.42,17.09
19.41,17.10
19.37,17.11
19.36,17.12
19.43,17.13
19.38,17.14
19.37,17.15
19.45,17.16
19.42,17.17
19.40,17.18
19.45,17.19
19.42,17.20
19.36,17.21
19.42,17.22
19.41,17.23
19.35,17.24
19.36,17.26
19.41,17.27
19.40,17.28
19.35,17.29
19.45,17.30
19.39,17.31
19.35,17.32
19.45,17.33
19.41,17.34
19.34,17.35
19.42,17.36
19.44,17.37
19.40,17.38
19.37,17.39
19.41,17.40
19.41,17.41
19.42,17.42
19.42,17.43
19.38,17.44
19.35,17.45
19.38,17.46
19.42,17.47
19.37,17.48
19.42,17.49
19.41,17.50
19.41,17.51
19.36,17.52
19.38,17.53
19.39,17.54
19.38,17.55
19.37,17.56
19.41,17.57
19.36,17.58
19.34,17.59
19.38,17.60
19.40,17.61
19.40,17.62
19.42,17.63
19.34,17.64
19.38,17.65
19.38,17.66
19.39,17.67
19.40,17.68
19.37,17.69
